file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/Encoder.java,org.apache.commons.codec.Encoder,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/net/QCodecTest.java,org.apache.commons.codec.net.QCodecTest,class,4,5,1,4,19,1,0,17,78,0.9230769,0.0,0.0,13,0,12,1,0,0,12,0,0,0,2,2,0,0,0,2,2,0,0,126,1,1,1,4,0,37,24,40,0,37,2,0,0,0,114,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/language/bm/LanguageGuessingTest.java,org.apache.commons.codec.language.bm.LanguageGuessingTest,class,5,5,0,5,4,1,0,8,0,0.22222222,0.6666667,1.0,3,1,3,0,0,0,3,0,0,0,6,2,0,6,0,0,4,0,2,26,1,0,0,0,0,40,0,8,2,8,1,0,0,0,33,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/bm/PhoneticEngine.java,org.apache.commons.codec.language.bm.PhoneticEngine$RulesApplication,innerclass,3,3,0,3,12,1,0,6,0,0.53333336,0.6,1.0,5,0,5,0,0,0,5,0,0,0,6,0,0,6,0,0,3,0,0,50,4,1,3,0,0,1,3,14,0,9,2,0,0,0,38,2,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/language/DoubleMetaphoneTest.java,org.apache.commons.codec.language.DoubleMetaphoneTest,class,5,6,1,5,32,2,0,23,153,0.9444444,0.0,0.0,18,0,15,2,1,0,16,0,0,0,2,2,0,2,0,0,2,0,1,170,2,4,6,1,0,2043,16,26,7,26,2,0,0,0,125,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/DecoderException.java,org.apache.commons.codec.DecoderException,class,0,11,11,0,4,3,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,88,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/language/bm/PhoneticEngineTest.java,org.apache.commons.codec.language.bm.PhoneticEngineTest,class,7,7,0,7,3,1,0,3,0,0.0,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,5,0,0,5,0,0,5,0,1,22,1,0,0,0,0,13,1,7,0,7,0,0,0,0,65,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/binary/BaseNCodecTest.java,org.apache.commons.codec.binary.BaseNCodecTest$Anonymous1,anonymous,1,1,0,1,5,1,0,0,3,0.0,0.0,0.0,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/binary/BinaryCodec.java,org.apache.commons.codec.binary.BinaryCodec,class,8,10,2,8,38,1,0,6,29,0.91735536,0.2888889,0.33333334,11,6,10,1,0,0,10,0,0,0,11,11,0,11,0,0,11,0,11,114,19,8,10,0,4,2,34,37,14,27,3,0,0,0,110,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/binary/Base32OutputStreamTest.java,org.apache.commons.codec.binary.Base32OutputStreamTest,class,9,10,1,9,22,1,0,14,30,0.7222222,0.06666667,0.06666667,9,0,6,3,0,0,6,0,0,0,2,2,0,2,0,0,2,0,13,142,0,8,0,5,0,12,28,50,2,27,1,0,0,0,100,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/bm/Lang.java,org.apache.commons.codec.language.bm.Lang$LangRule,innerclass,0,0,0,0,2,1,0,2,0,0.33333334,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,13,1,0,0,0,0,0,0,3,0,3,0,0,0,0,10,10,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/net/QuotedPrintableCodec.java,org.apache.commons.codec.net.QuotedPrintableCodec,class,10,13,3,10,38,1,0,23,75,0.88571435,0.07692308,0.07692308,14,3,13,1,0,0,14,0,3,0,5,4,0,5,0,0,5,0,11,147,21,4,10,3,3,5,16,18,6,16,3,0,0,0,208,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/AbstractCaverphone.java,org.apache.commons.codec.language.AbstractCaverphone,class,2,6,4,2,4,1,2,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,1,1,0,0,0,0,1,0,0,0,73,1025,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/BinaryDecoder.java,org.apache.commons.codec.BinaryDecoder,interface,2,8,6,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/binary/Base32.java,org.apache.commons.codec.binary.Base32,class,3,8,5,3,47,2,0,4,14,0.78333336,0.25,0.35714287,8,0,6,0,0,2,8,0,0,0,15,9,0,15,0,0,14,0,4,214,4,2,8,0,66,4,266,101,56,22,5,0,0,0,265,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/binary/Codec105ErrorInputStream.java,org.apache.commons.codec.binary.Codec105ErrorInputStream,class,1,3,2,1,4,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,1,0,1,1,0,0,21,4,0,0,0,0,0,5,3,0,2,1,0,0,0,31,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/CharEncodingTest.java,org.apache.commons.codec.CharEncodingTest,class,2,2,0,2,7,1,0,1,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,6,0,0,0,0,0,0,0,0,25,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/net/BCodecTest.java,org.apache.commons.codec.net.BCodecTest,class,4,5,1,4,16,1,0,13,45,0.9,0.0,0.0,10,0,9,1,0,0,9,0,0,0,2,2,0,0,0,2,2,0,0,96,1,1,1,4,0,26,24,28,0,28,2,0,0,0,82,1,0
/Users/victorfrancorezende/./codec/src/test/org/apache/commons/codec/DecoderExceptionTest.java,org.apache.commons.codec.DecoderExceptionTest,class,2,2,0,2,4,1,0,6,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,0,24,0,0,0,0,0,1,0,6,0,6,0,0,0,0,20,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/language/bm/NameType.java,org.apache.commons.codec.language.bm.NameType,enum,0,6,6,0,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,11,1,0,0,0,0,3,0,1,0,1,0,0,0,0,41,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/binary/Base64InputStream.java,org.apache.commons.codec.binary.Base64InputStream,class,3,4,1,3,3,4,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/net/RFC1522Codec.java,org.apache.commons.codec.net.RFC1522Codec,class,4,9,5,4,13,1,4,16,8,0.6,0.1,0.1,5,0,0,0,5,0,5,3,0,0,3,3,0,0,3,0,3,0,2,55,4,0,4,0,2,9,4,16,4,11,1,0,0,0,139,1024,0
/Users/victorfrancorezende/./codec/src/java/org/apache/commons/codec/BinaryEncoder.java,org.apache.commons.codec.BinaryEncoder,interface,2,9,7,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
